episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus,reward,alpha,gamma,epsilon,epsilonDecay
129,10,false,false,-2029.0,0.1,0.99,0.27348915102221616,0.01
130,22,false,true,-2551.0,0.1,0.99,0.270754259511994,0.01
131,7,false,false,-2516.0,0.1,0.99,0.26804671691687404,0.01
132,6,false,false,-2005.0,0.1,0.99,0.2653662497477053,0.01
133,12,false,false,-2521.0,0.1,0.99,0.2627125872502282,0.01
134,1,false,false,-2000.0,0.1,0.99,0.2600854613777259,0.01
135,21,false,false,-3540.0,0.1,0.99,0.2574846067639487,0.01
136,23,false,false,-2562.0,0.1,0.99,0.2549097606963092,0.01
137,60,false,false,-3119.0,0.1,0.99,0.2523606630893461,0.01
138,2,false,false,-2001.0,0.1,0.99,0.24983705645845267,0.01
139,60,false,false,-2669.0,0.1,0.99,0.24733868589386815,0.01
140,9,false,false,-2518.0,0.1,0.99,0.24486529903492946,0.01
141,80,false,false,-2639.0,0.1,0.99,0.24241664604458016,0.01
142,29,false,false,-2568.0,0.1,0.99,0.23999247958413436,0.01
143,26,false,false,-2045.0,0.1,0.99,0.23759255478829303,0.01
144,53,false,false,-3622.0,0.1,0.99,0.2352166292404101,0.01
145,47,false,false,-3106.0,0.1,0.99,0.232864462948006,0.01
146,15,false,false,-2544.0,0.1,0.99,0.23053581831852593,0.01
147,59,false,false,-2588.0,0.1,0.99,0.22823046013534068,0.01
148,25,false,false,-2024.0,0.1,0.99,0.22594815553398728,0.01
149,1,false,false,-2000.0,0.1,0.99,0.22368867397864742,0.01
150,71,false,false,-3140.0,0.1,0.99,0.22145178723886094,0.01
151,14,false,true,-2023.0,0.1,0.99,0.21923726936647234,0.01
152,60,false,false,-3109.0,0.1,0.99,0.2170448966728076,0.01
153,5,false,false,-2014.0,0.1,0.99,0.21487444770607952,0.01
154,10,false,false,-2529.0,0.1,0.99,0.21272570322901874,0.01
155,15,false,false,-2514.0,0.1,0.99,0.21059844619672854,0.01
156,33,false,false,-2052.0,0.1,0.99,0.20849246173476127,0.01
157,43,false,false,-3102.0,0.1,0.99,0.20640753711741366,0.01
158,64,false,false,-2603.0,0.1,0.99,0.20434346174623952,0.01
159,16,false,false,-2055.0,0.1,0.99,0.20230002712877712,0.01
160,22,false,true,-2051.0,0.1,0.99,0.20027702685748935,0.01
161,4,false,false,-2013.0,0.1,0.99,0.19827425658891445,0.01
162,67,false,false,-2606.0,0.1,0.99,0.1962915140230253,0.01
163,27,false,false,-3046.0,0.1,0.99,0.19432859888279505,0.01
164,41,false,false,-2590.0,0.1,0.99,0.1923853128939671,0.01
165,12,false,false,-2021.0,0.1,0.99,0.19046145976502743,0.01
166,7,false,false,-2006.0,0.1,0.99,0.18855684516737714,0.01
167,51,false,false,-2580.0,0.1,0.99,0.18667127671570335,0.01
168,6,false,false,-2015.0,0.1,0.99,0.18480456394854633,0.01
169,1,false,false,-2000.0,0.1,0.99,0.18295651830906087,0.01
170,21,false,false,-2530.0,0.1,0.99,0.18112695312597027,0.01
171,83,false,false,-3202.0,0.1,0.99,0.17931568359471056,0.01
172,92,false,false,-3691.0,0.1,0.99,0.17752252675876345,0.01
173,28,false,false,-2087.0,0.1,0.99,0.17574730149117582,0.01
174,27,false,false,-2036.0,0.1,0.99,0.17398982847626407,0.01
