episodeNumber,steps,agentWinTheGame,agentKilledTheWumpus
545,25,true,true
546,20,true,true
547,20,true,true
548,20,true,true
549,20,true,true
550,20,true,true
551,20,true,true
552,20,true,true
553,20,true,true
554,20,true,true
555,20,true,true
556,21,true,true
557,20,true,true
558,20,true,true
559,20,true,true
560,21,true,true
561,20,true,true
562,20,true,true
563,20,true,true
564,20,true,true
565,20,true,true
566,20,true,true
567,20,true,true
568,1844,false,false
569,20,true,true
570,20,true,true
571,21,true,true
572,23,true,true
573,22,true,true
574,20,true,true
575,20,true,true
576,20,true,true
577,22,true,true
578,20,true,true
579,29,true,true
580,20,true,true
581,23,true,true
582,20,true,true
583,20,true,true
584,20,true,true
585,20,true,true
586,20,true,true
587,20,true,true
588,20,true,true
589,20,true,true
590,20,true,true
591,20,true,true
592,20,true,true
593,20,true,true
594,20,true,true
595,20,true,true
596,20,true,true
597,20,true,true
598,20,true,true
599,20,true,true
600,20,true,true
601,20,true,true
602,20,true,true
603,21,true,true
604,20,true,true
605,20,true,true
606,20,true,true
607,21,true,true
608,20,true,true
609,20,true,true
610,20,true,true
611,20,true,true
612,20,true,true
613,20,true,true
614,20,true,true
615,20,true,true
616,20,true,true
617,23,true,true
618,20,true,true
619,20,true,true
620,20,true,true
621,20,true,true
622,20,true,true
623,20,true,true
624,20,true,true
625,21,true,true
626,20,true,true
627,22,true,true
628,20,true,true
629,20,true,true
630,20,true,true
631,20,true,true
632,20,true,true
633,20,true,true
634,20,true,true
635,21,true,true
636,20,true,true
637,20,true,true
638,20,true,true
639,20,true,true
640,21,true,true
641,20,true,true
642,20,true,true
643,20,true,true
644,20,true,true
645,20,true,true
646,22,true,true
647,20,true,true
648,20,true,true
649,20,true,true
650,20,true,true
651,20,true,true
652,22,true,true
653,20,true,true
654,20,true,true
655,20,true,true
656,21,true,true
657,20,true,true
658,20,true,true
659,20,true,true
660,20,true,true
661,20,true,true
662,20,true,true
663,20,true,true
664,20,true,true
665,20,true,true
666,20,true,true
667,20,true,true
668,20,true,true
669,20,true,true
670,662,false,false
671,20,true,true
672,20,true,true
673,20,true,true
674,22,true,true
675,20,true,true
676,20,true,true
677,21,true,true
678,20,true,true
679,20,true,true
680,20,true,true
681,20,true,true
682,20,true,true
683,20,true,true
684,20,true,true
685,20,true,true
686,21,true,true
687,20,true,true
688,20,true,true
689,20,true,true
690,20,true,true
691,20,true,true
692,20,true,true
693,20,true,true
694,20,true,true
695,21,true,true
696,20,true,true
697,20,true,true
698,20,true,true
699,20,true,true
700,20,true,true
701,20,true,true
702,20,true,true
703,20,true,true
704,20,true,true
705,20,true,true
706,20,true,true
707,20,true,true
708,20,true,true
709,20,true,true
710,14,false,true
711,20,true,true
712,20,true,true
713,20,true,true
714,20,true,true
715,20,true,true
716,20,true,true
717,20,true,true
718,20,true,true
719,20,true,true
720,20,true,true
721,20,true,true
722,20,true,true
723,20,true,true
724,20,true,true
725,71,false,false
726,20,true,true
727,20,true,true
728,20,true,true
729,20,true,true
730,20,true,true
731,20,true,true
732,20,true,true
733,20,true,true
734,20,true,true
735,20,true,true
736,20,true,true
737,20,true,true
738,20,true,true
739,20,true,true
740,20,true,true
741,20,true,true
742,20,true,true
743,20,true,true
744,20,true,true
745,21,true,true
746,20,true,true
747,20,true,true
748,20,true,true
749,6,false,true
750,20,true,true
751,20,true,true
752,20,true,true
753,20,true,true
754,20,true,true
755,20,true,true
756,20,true,true
757,21,true,true
758,20,true,true
759,21,true,true
760,20,true,true
761,20,true,true
762,20,true,true
763,20,true,true
764,20,true,true
765,20,true,true
766,20,true,true
767,20,true,true
768,21,true,true
769,20,true,true
770,20,true,true
771,20,true,true
772,20,true,true
773,20,true,true
774,20,true,true
775,20,true,true
776,20,true,true
777,20,true,true
778,20,true,true
779,20,true,true
780,20,true,true
781,20,true,true
782,20,true,true
783,20,true,true
784,20,true,true
785,20,true,true
786,20,true,true
787,20,true,true
788,20,true,true
789,20,true,true
790,20,true,true
791,20,true,true
792,20,true,true
793,20,true,true
794,20,true,true
795,20,true,true
796,8,false,true
797,20,true,true
798,20,true,true
799,20,true,true
800,20,false,true
801,20,true,true
802,20,true,true
803,20,true,true
804,22,true,true
805,20,true,true
806,20,true,true
807,20,true,true
808,20,true,true
809,20,true,true
810,20,true,true
811,21,true,true
812,20,true,true
813,20,true,true
814,20,true,true
815,20,true,true
816,20,true,true
817,20,true,true
818,20,true,true
819,20,true,true
820,20,true,true
821,20,true,true
822,21,true,true
823,20,true,true
824,20,true,true
825,549,false,false
826,20,true,true
827,20,true,true
828,20,true,true
829,20,true,true
830,20,true,true
831,20,true,true
832,20,true,true
833,20,true,true
834,20,true,true
835,20,true,true
836,20,true,true
837,20,true,true
838,21,true,true
839,20,true,true
840,20,true,true
841,20,true,true
842,20,true,true
843,20,true,true
844,20,true,true
845,20,true,true
846,20,true,true
847,21,true,true
848,20,true,true
849,20,true,true
850,20,true,true
851,20,true,true
852,20,true,true
853,20,true,true
854,20,true,true
855,20,true,true
856,21,true,true
857,20,true,true
858,20,true,true
859,20,true,true
860,20,true,true
861,20,true,true
862,21,true,true
863,20,true,true
864,20,true,true
865,20,true,true
866,21,true,true
867,20,true,true
868,20,true,true
869,20,true,true
870,22,true,true
871,20,true,true
872,20,true,true
873,20,true,true
874,20,true,true
875,20,true,true
876,20,true,true
877,20,true,true
878,20,true,true
879,2,false,false
880,20,true,true
881,20,true,true
882,20,true,true
883,20,true,true
884,20,true,true
885,20,true,true
886,20,true,true
887,20,true,true
888,20,true,true
889,20,true,true
890,20,true,true
891,20,true,true
892,20,true,true
893,20,true,true
894,20,true,true
895,20,true,true
896,20,true,true
897,21,true,true
898,20,true,true
899,20,true,true
900,20,true,true
901,20,true,true
902,20,true,true
903,20,true,true
904,20,true,true
905,241,false,false
906,20,true,true
907,20,true,true
908,20,true,true
909,21,true,true
910,20,true,true
911,20,true,true
912,20,true,true
913,21,true,true
914,20,true,true
915,20,true,true
916,20,true,true
917,20,true,true
918,21,true,true
919,20,true,true
920,20,true,true
921,20,true,true
922,20,true,true
923,20,true,true
924,20,true,true
925,21,true,true
926,20,true,true
927,20,true,true
928,20,true,true
929,20,true,true
930,20,true,true
931,20,true,true
932,20,true,true
933,20,true,true
934,20,true,true
935,20,true,true
936,22,false,true
937,20,true,true
938,20,true,true
939,20,true,true
940,20,true,true
941,20,true,true
942,20,true,true
943,20,true,true
944,20,true,true
945,20,true,true
946,20,true,true
947,20,true,true
948,20,true,true
949,110,false,false
950,20,true,true
951,20,true,true
952,20,true,true
953,21,true,true
954,20,true,true
955,20,true,true
956,20,true,true
957,20,true,true
958,20,true,true
959,20,true,true
960,20,true,true
961,22,true,true
962,20,true,true
963,20,true,true
964,20,true,true
965,20,true,true
966,20,true,true
967,20,true,true
968,20,true,true
969,21,true,true
970,20,true,true
971,20,true,true
972,20,true,true
973,20,true,true
974,20,true,true
975,21,true,true
976,20,true,true
977,4,false,false
978,20,true,true
979,20,true,true
980,20,true,true
981,20,true,true
982,20,true,true
983,20,true,true
984,20,true,true
985,20,true,true
986,20,true,true
987,20,true,true
988,20,true,true
989,20,true,true
990,20,true,true
991,21,true,true
992,20,true,true
993,20,true,true
994,215,false,false
995,20,true,true
996,21,true,true
997,20,true,true
998,20,true,true
999,20,true,true
1000,20,true,true
1001,20,true,true
1002,20,true,true
1003,20,true,true
1004,20,true,true
1005,20,true,true
1006,20,true,true
1007,21,true,true
1008,20,true,true
1009,20,true,true
1010,20,true,true
1011,20,true,true
1012,20,true,true
1013,22,true,true
1014,20,true,true
1015,20,true,true
1016,14,false,true
1017,20,true,true
1018,20,true,true
1019,21,true,true
1020,20,true,true
1021,22,true,true
1022,20,true,true
1023,20,true,true
1024,20,true,true
1025,20,true,true
1026,21,true,true
1027,20,true,true
1028,20,true,true
1029,20,true,true
1030,20,true,true
1031,20,true,true
1032,20,true,true
1033,20,true,true
1034,20,true,true
1035,20,true,true
1036,20,true,true
1037,20,true,true
1038,20,true,true
1039,20,true,true
1040,20,true,true
1041,21,true,true
1042,20,true,true
1043,20,true,true
1044,21,true,true
1045,20,true,true
1046,21,true,true
1047,21,true,true
1048,20,true,true
1049,20,true,true
1050,20,true,true
1051,20,true,true
1052,20,true,true
1053,22,true,true
1054,20,true,true
1055,20,true,true
1056,20,true,true
1057,20,true,true
1058,20,true,true
1059,21,true,true
1060,20,true,true
1061,20,true,true
1062,20,true,true
1063,20,true,true
1064,20,true,true
1065,20,true,true
1066,20,true,true
1067,20,true,true
1068,20,true,true
1069,20,true,true
1070,20,true,true
1071,20,true,true
1072,20,true,true
1073,21,true,true
1074,20,true,true
1075,20,true,true
1076,20,true,true
1077,20,true,true
1078,20,true,true
1079,15,false,true
1080,20,true,true
1081,21,true,true
1082,20,true,true
1083,20,true,true
1084,20,true,true
1085,20,true,true
1086,6,false,true
1087,20,true,true
1088,20,true,true
1089,21,true,true
1090,21,true,true
1091,20,true,true
1092,20,true,true
1093,20,true,true
1094,24,true,true
1095,20,true,true
1096,21,true,true
1097,20,true,true
1098,20,true,true
1099,20,true,true
1100,20,true,true
1101,20,true,true
1102,20,true,true
1103,20,true,true
1104,14,false,true
1105,20,true,true
1106,20,true,true
1107,20,true,true
1108,21,true,true
1109,20,true,true
1110,20,true,true
1111,8,false,false
1112,20,true,true
1113,20,true,true
1114,20,true,true
1115,20,true,true
1116,20,true,true
1117,20,true,true
1118,20,true,true
1119,20,true,true
1120,21,true,true
1121,22,true,true
1122,20,true,true
1123,20,true,true
1124,20,true,true
1125,22,true,true
1126,20,true,true
1127,20,true,true
1128,20,true,true
1129,24,true,true
1130,20,true,true
1131,20,true,true
1132,20,true,true
1133,20,true,true
1134,20,true,true
1135,20,true,true
1136,20,true,true
1137,20,true,true
1138,20,true,true
1139,20,true,true
1140,20,true,true
1141,20,true,true
1142,22,true,true
1143,22,true,true
1144,21,true,true
1145,20,true,true
1146,20,true,true
1147,20,true,true
1148,20,true,true
1149,20,true,true
1150,20,true,true
1151,20,true,true
1152,24,true,true
1153,20,true,true
1154,21,true,true
1155,20,true,true
1156,21,true,true
1157,20,true,true
1158,20,true,true
1159,20,true,true
1160,20,true,true
1161,20,true,true
1162,20,true,true
1163,20,true,true
1164,20,true,true
1165,21,true,true
1166,20,true,true
1167,20,true,true
1168,20,true,true
1169,20,true,true
1170,20,true,true
1171,867,false,false
1172,20,true,true
1173,20,true,true
1174,20,true,true
1175,1039,false,false
1176,20,true,true
1177,20,true,true
1178,20,true,true
1179,20,true,true
1180,20,true,true
1181,20,true,true
1182,21,true,true
1183,20,true,true
1184,20,true,true
1185,20,true,true
1186,22,true,true
1187,20,true,true
1188,20,true,true
1189,20,true,true
1190,20,true,true
1191,20,true,true
1192,20,true,true
1193,20,true,true
1194,20,true,true
1195,20,true,true
1196,20,true,true
1197,20,true,true
1198,20,true,true
1199,20,true,true
1200,20,true,true
1201,20,true,true
1202,20,true,true
1203,20,true,true
1204,21,true,true
1205,20,true,true
1206,20,true,true
1207,20,true,true
1208,20,true,true
1209,20,true,true
1210,20,true,true
1211,20,true,true
1212,20,true,true
1213,20,true,true
1214,20,true,true
1215,20,true,true
1216,20,true,true
1217,20,true,true
1218,20,true,true
1219,20,true,true
1220,20,true,true
1221,20,true,true
1222,21,true,true
1223,20,true,true
1224,20,true,true
1225,20,true,true
1226,20,true,true
1227,8,false,true
1228,20,true,true
1229,20,true,true
1230,22,true,true
1231,21,true,true
1232,23,true,true
1233,20,true,true
1234,20,true,true
1235,21,true,true
1236,20,true,true
1237,21,true,true
1238,20,true,true
1239,20,true,true
1240,20,true,true
1241,20,true,true
1242,21,true,true
1243,22,true,true
1244,22,true,true
1245,20,true,true
1246,20,true,true
1247,20,true,true
1248,20,true,true
1249,20,true,true
1250,21,true,true
1251,20,true,true
1252,20,true,true
1253,20,true,true
1254,20,true,true
1255,20,true,true
1256,21,true,true
1257,22,true,true
1258,20,true,true
1259,20,true,true
1260,20,true,true
1261,20,true,true
1262,20,true,true
1263,20,true,true
1264,21,true,true
1265,20,true,true
1266,20,true,true
1267,20,true,true
1268,20,true,true
1269,20,true,true
1270,20,true,true
1271,21,true,true
1272,20,true,true
1273,20,true,true
1274,21,true,true
1275,20,true,true
1276,20,true,true
1277,20,true,true
1278,20,true,true
1279,20,true,true
1280,20,true,true
1281,22,true,true
1282,20,true,true
1283,20,true,true
1284,20,true,true
1285,20,true,true
1286,20,true,true
1287,20,true,true
1288,20,true,true
1289,20,true,true
1290,20,true,true
1291,23,true,true
1292,20,true,true
1293,1,false,false
1294,20,true,true
1295,21,true,true
1296,20,true,true
1297,20,true,true
1298,20,true,true
1299,20,true,true
1300,20,true,true
1301,20,true,true
1302,21,false,true
1303,20,true,true
1304,20,true,true
1305,20,true,true
1306,20,true,true
1307,20,true,true
1308,20,true,true
1309,20,true,true
1310,20,true,true
1311,20,true,true
1312,20,true,true
1313,21,true,true
1314,20,true,true
1315,20,true,true
1316,20,true,true
1317,20,true,true
1318,20,true,true
1319,20,true,true
1320,20,true,true
1321,20,true,true
1322,20,true,true
1323,21,true,true
1324,20,true,true
1325,20,true,true
1326,20,true,true
1327,20,true,true
1328,20,true,true
1329,20,true,true
1330,20,true,true
1331,20,true,true
1332,20,true,true
1333,20,true,true
1334,21,true,true
1335,20,true,true
1336,20,true,true
1337,20,true,true
1338,20,true,true
1339,20,true,true
1340,20,true,true
1341,20,true,true
1342,20,true,true
1343,20,true,true
1344,21,true,true
1345,20,true,true
1346,20,true,true
1347,20,true,true
1348,20,true,true
1349,20,true,true
1350,21,true,true
1351,20,true,true
1352,20,true,true
1353,20,true,true
1354,20,true,true
1355,21,true,true
1356,20,true,true
1357,20,true,true
1358,20,true,true
1359,20,true,true
1360,21,true,true
1361,21,true,true
1362,20,true,true
1363,20,true,true
1364,20,true,true
1365,20,true,true
1366,20,true,true
1367,20,true,true
1368,20,true,true
1369,20,true,true
1370,22,true,true
1371,20,true,true
1372,20,true,true
1373,21,true,true
1374,20,true,true
1375,20,true,true
1376,20,true,true
1377,20,true,true
1378,21,true,true
1379,20,true,true
1380,20,true,true
1381,20,true,true
1382,20,true,true
1383,20,true,true
1384,20,true,true
1385,20,true,true
1386,841,false,false
1387,20,true,true
1388,20,true,true
1389,20,true,true
1390,20,true,true
1391,20,true,true
1392,20,true,true
1393,20,true,true
1394,20,true,true
1395,20,true,true
1396,20,true,true
1397,20,true,true
1398,20,true,true
1399,20,true,true
1400,20,true,true
1401,20,true,true
1402,20,true,true
1403,20,true,true
1404,20,true,true
1405,20,true,true
1406,20,true,true
1407,20,true,true
1408,20,true,true
1409,21,true,true
1410,20,true,true
1411,21,true,true
1412,21,true,true
1413,20,true,true
1414,20,true,true
1415,20,true,true
1416,20,true,true
1417,20,true,true
1418,20,true,true
1419,20,true,true
1420,453,false,false
1421,20,true,true
1422,20,true,true
1423,20,true,true
1424,189,false,false
1425,21,true,true
1426,20,true,true
1427,20,true,true
1428,20,true,true
1429,20,true,true
1430,20,true,true
1431,20,true,true
1432,23,true,true
1433,20,true,true
1434,20,true,true
1435,110,false,false
1436,21,true,true
1437,20,true,true
1438,20,true,true
1439,20,true,true
1440,20,true,true
1441,20,true,true
1442,20,true,true
1443,578,false,false
1444,20,true,true
1445,21,true,true
1446,20,true,true
1447,20,true,true
1448,22,true,true
1449,20,true,true
1450,20,true,true
1451,22,true,true
1452,20,true,true
1453,20,true,true
1454,20,true,true
1455,20,true,true
1456,20,true,true
1457,20,true,true
1458,20,true,true
1459,20,true,true
1460,20,true,true
1461,20,true,true
1462,20,true,true
1463,20,true,true
1464,20,true,true
1465,21,true,true
1466,21,true,true
1467,20,true,true
1468,20,true,true
1469,21,true,true
1470,20,true,true
1471,20,true,true
1472,99,false,false
1473,20,true,true
1474,20,true,true
1475,21,true,true
1476,20,true,true
1477,20,true,true
1478,20,true,true
1479,20,true,true
1480,20,true,true
1481,22,true,true
1482,20,true,true
1483,20,true,true
1484,20,true,true
1485,20,true,true
1486,20,true,true
1487,21,true,true
1488,20,true,true
1489,20,true,true
1490,20,true,true
1491,22,true,true
1492,20,true,true
1493,21,true,true
1494,20,true,true
1495,20,true,true
1496,20,true,true
1497,20,true,true
1498,20,true,true
1499,20,true,true
1500,20,true,true
1501,20,true,true
1502,20,true,true
1503,20,true,true
1504,21,true,true
1505,20,true,true
1506,20,true,true
1507,20,true,true
1508,20,true,true
1509,20,true,true
1510,20,true,true
1511,22,true,true
1512,20,true,true
1513,20,true,true
1514,20,true,true
1515,20,true,true
1516,20,true,true
1517,20,true,true
1518,20,true,true
1519,20,true,true
1520,20,true,true
1521,20,true,true
1522,20,true,true
1523,20,true,true
1524,20,true,true
1525,20,true,true
1526,20,true,true
1527,21,true,true
1528,20,true,true
1529,21,true,true
1530,20,true,true
1531,20,true,true
1532,20,true,true
1533,20,true,true
1534,20,true,true
1535,20,true,true
1536,20,true,true
1537,20,true,true
1538,22,true,true
1539,20,true,true
1540,20,true,true
1541,22,true,true
1542,20,true,true
1543,20,true,true
1544,20,true,true
1545,20,true,true
1546,20,true,true
1547,21,true,true
1548,22,true,true
1549,20,true,true
1550,20,true,true
1551,20,true,true
1552,20,true,true
1553,20,true,true
1554,22,true,true
1555,20,true,true
1556,20,true,true
1557,20,true,true
1558,14,false,true
1559,20,true,true
1560,20,true,true
1561,20,true,true
1562,21,true,true
1563,20,true,true
1564,20,true,true
1565,20,true,true
1566,21,true,true
1567,20,true,true
1568,20,true,true
1569,20,true,true
1570,20,true,true
1571,20,true,true
1572,20,true,true
1573,20,true,true
1574,15,false,true
1575,20,true,true
1576,20,true,true
1577,22,true,true
1578,20,true,true
1579,20,true,true
